id,timestamp,event_type,values,game_id
33499216,2022-09-10 23:55:27.035+00,spawn,"{7,False}",426181
33499217,2022-09-10 23:55:27.214+00,spawn,"{3,False}",426181
33499218,2022-09-10 23:55:27.257+00,spawn,"{6,False}",426181
33499219,2022-09-10 23:55:27.814+00,mapstart,"{map_day,False,0,False,17.26}",426181
33499220,2022-09-10 23:55:27.829+00,spawn,"{1,False}",426181
33499221,2022-09-10 23:55:27.83+00,spawn,"{2,False}",426181
33499222,2022-09-10 23:55:27.831+00,playernames,"{"""","""","""","""","""","""","""","""","""",""""}",426181
33499223,2022-09-10 23:55:27.933+00,spawn,"{5,False}",426181
33499244,2022-09-10 23:55:38.197+00,carryFood,{7},426181
33499245,2022-09-10 23:55:38.412+00,blessMaiden,"{960,500,Blue}",426181
33499246,2022-09-10 23:55:38.515+00,glance,"{1016,500,10,5}",426181
33499257,2022-09-10 23:55:40.302+00,getOnSnail,"{960,11,3}",426181
33499301,2022-09-10 23:55:49.298+00,blessMaiden,"{960,500,Red}",426181
33499302,2022-09-10 23:55:49.675+00,glance,"{1263,584,2,9}",426181
33499310,2022-09-10 23:55:50.865+00,useMaiden,"{960,500,maiden_wings,4}",426181
33499311,2022-09-10 23:55:50.95+00,carryFood,{5},426181
33499312,2022-09-10 23:55:51.056+00,reserveMaiden,"{960,500,9}",426181
33499322,2022-09-10 23:55:51.513+00,useMaiden,"{560,260,maiden_wings,6}",426181
33499323,2022-09-10 23:55:52.303+00,playerKill,"{1247,734,1,2,Queen}",426181
33499328,2022-09-10 23:55:54.012+00,blessMaiden,"{1360,260,Red}",426181
33499329,2022-09-10 23:55:54.094+00,useMaiden,"{960,500,maiden_wings,9}",426181
33499330,2022-09-10 23:55:55.068+00,carryFood,{3},426181
33499332,2022-09-10 23:55:55.128+00,playerKill,"{1176,380,4,5,Worker}",426181
33499334,2022-09-10 23:55:55.871+00,playerKill,"{1012,688,9,6,Soldier}",426181
33499336,2022-09-10 23:55:56.12+00,glance,"{730,274,3,8}",426181
33499337,2022-09-10 23:55:56.734+00,blessMaiden,"{560,260,Blue}",426181
33499371,2022-09-10 23:56:01.152+00,carryFood,{6},426181
33499372,2022-09-10 23:56:01.339+00,reserveMaiden,"{1360,260,5}",426181
33499373,2022-09-10 23:56:01.477+00,useMaiden,"{960,500,maiden_wings,7}",426181
33499379,2022-09-10 23:56:02.054+00,playerKill,"{1090,774,4,9,Soldier}",426181
33499381,2022-09-10 23:56:02.675+00,reserveMaiden,"{410,860,6}",426181
