id,timestamp,event_type,values,game_id
17333611,2022-05-23 02:12:10.202+00,spawn,"{10,False}",372822
17333612,2022-05-23 02:12:10.386+00,spawn,"{4,False}",372822
17333625,2022-05-23 02:12:14.069+00,spawn,"{9,False}",372822
17333645,2022-05-23 02:12:20.711+00,carryFood,{6},372822
17333813,2022-05-23 02:12:57.427+00,blessMaiden,"{960,140,Blue}",372822
17333828,2022-05-23 02:13:03.046+00,carryFood,{10},372822
17333830,2022-05-23 02:13:03.671+00,playerKill,"{1095,380,2,3,Soldier}",372822
17333831,2022-05-23 02:13:03.907+00,carryFood,{7},372822
17333832,2022-05-23 02:13:04.139+00,glance,"{1835,260,10,7}",372822
17333833,2022-05-23 02:13:05.162+00,glance,"{1797,341,7,10}",372822
17333834,2022-05-23 02:13:05.591+00,carryFood,{9},372822
17333835,2022-05-23 02:13:05.954+00,blessMaiden,"{1610,620,Blue}",372822
17333837,2022-05-23 02:13:06.326+00,reserveMaiden,"{960,140,4}",372822
17333838,2022-05-23 02:13:07.43+00,reserveMaiden,"{1580,140,10}",372822
17333839,2022-05-23 02:13:08.281+00,blessMaiden,"{1610,620,Red}",372822
17333840,2022-05-23 02:13:08.579+00,blessMaiden,"{310,620,Blue}",372822
17333841,2022-05-23 02:13:08.844+00,glance,"{659,1015,5,8}",372822
17333842,2022-05-23 02:13:09.348+00,reserveMaiden,"{340,140,7}",372822
17333843,2022-05-23 02:13:09.407+00,useMaiden,"{960,140,maiden_wings,4}",372822
17333844,2022-05-23 02:13:09.54+00,carryFood,{3},372822
17333846,2022-05-23 02:13:10.276+00,glance,"{578,1015,5,8}",372822
17333847,2022-05-23 02:13:10.473+00,useMaiden,"{1580,140,maiden_speed,10}",372822
17333877,2022-05-23 02:13:26.659+00,useMaiden,"{1610,620,maiden_wings,7}",372822
17333878,2022-05-23 02:13:26.925+00,blessMaiden,"{1610,620,Blue}",372822
17333879,2022-05-23 02:13:27.291+00,blessMaiden,"{960,140,Red}",372822
17333898,2022-05-23 02:13:28.01+00,glance,"{108,396,8,5}",372822
17333900,2022-05-23 02:13:29.004+00,glance,"{70,441,5,8}",372822
17333901,2022-05-23 02:13:29.561+00,blessMaiden,"{960,140,Blue}",372822
17333902,2022-05-23 02:13:29.798+00,glance,"{93,432,5,8}",372822
17333948,2022-05-23 02:13:44.095+00,blessMaiden,"{1580,140,Blue}",372822
17333949,2022-05-23 02:13:44.26+00,reserveMaiden,"{960,140,10}",372822
17333951,2022-05-23 02:13:45.518+00,carryFood,{4},372822
17333952,2022-05-23 02:13:45.982+00,blessMaiden,"{1580,140,Red}",372822
17333954,2022-05-23 02:13:47.111+00,playerKill,"{1420,490,6,1,Queen}",372822
17333955,2022-05-23 02:13:47.313+00,useMaiden,"{960,140,maiden_wings,10}",372822
17333956,2022-05-23 02:13:47.844+00,playerKill,"{333,239,7,4,Worker}",372822
17333961,2022-05-23 02:13:48.219+00,blessMaiden,"{1580,140,Blue}",372822
17333962,2022-05-23 02:13:48.555+00,carryFood,{3},372822
17333966,2022-05-23 02:13:48.853+00,getOnSnail,"{273,11,3}",372822
17333977,2022-05-23 02:13:50.983+00,getOffSnail,"{318,11,"""",3}",372822
17333978,2022-05-23 02:13:51.026+00,playerKill,"{327,43,2,3,Worker}",372822
17333983,2022-05-23 02:13:52.308+00,playerKill,"{204,672,10,9,Soldier}",372822
17333990,2022-05-23 02:13:53.518+00,blessMaiden,"{1580,140,Red}",372822
17333996,2022-05-23 02:13:54.914+00,getOnSnail,"{318,11,4}",372822
17333997,2022-05-23 02:13:55.01+00,getOffSnail,"{316,11,"""",4}",372822
17334001,2022-05-23 02:13:55.744+00,playerKill,"{163,54,7,4,Worker}",372822
17334004,2022-05-23 02:13:56.406+00,glance,"{268,411,1,2}",372822
17334008,2022-05-23 02:13:56.798+00,carryFood,{3},372822
17334009,2022-05-23 02:13:56.844+00,carryFood,{9},372822
17334015,2022-05-23 02:13:58.059+00,reserveMaiden,"{1580,140,3}",372822
17334016,2022-05-23 02:13:58.452+00,getOnSnail,"{316,11,9}",372822
17334024,2022-05-23 02:13:59.947+00,getOffSnail,"{345,11,"""",9}",372822
17334026,2022-05-23 02:14:00.186+00,blessMaiden,"{960,140,Red}",372822
17334029,2022-05-23 02:14:01.145+00,useMaiden,"{1580,140,maiden_speed,3}",372822
17334031,2022-05-23 02:14:01.608+00,carryFood,{4},372822
17334032,2022-05-23 02:14:01.669+00,getOnSnail,"{345,11,4}",372822
17334034,2022-05-23 02:14:01.968+00,carryFood,{3},372822
17334035,2022-05-23 02:14:02.133+00,blessMaiden,"{340,140,Blue}",372822
17334043,2022-05-23 02:14:03.4+00,blessMaiden,"{1610,620,Red}",372822
17334048,2022-05-23 02:14:03.963+00,snailEat,"{297,11,4,9}",372822
17334049,2022-05-23 02:14:04.006+00,glance,"{314,20,9,4}",372822
17334059,2022-05-23 02:14:04.593+00,blessMaiden,"{960,140,Blue}",372822
17334068,2022-05-23 02:14:05.024+00,playerKill,"{1663,725,1,6,Soldier}",372822
17334074,2022-05-23 02:14:06.579+00,reserveMaiden,"{1610,620,3}",372822
17334075,2022-05-23 02:14:07.474+00,playerKill,"{314,20,4,9,Worker}",372822
17334077,2022-05-23 02:14:08.151+00,getOffSnail,"{294,11,"""",4}",372822
17334079,2022-05-23 02:14:08.2+00,playerKill,"{294,11,5,4,Worker}",372822
17334106,2022-05-23 02:14:09.67+00,useMaiden,"{1610,620,maiden_wings,3}",372822
17334109,2022-05-23 02:14:10.166+00,carryFood,{6},372822
17334120,2022-05-23 02:14:12.588+00,carryFood,{9},372822
17334122,2022-05-23 02:14:12.641+00,blessMaiden,"{960,140,Red}",372822
17334124,2022-05-23 02:14:12.72+00,getOnSnail,"{294,11,6}",372822
17334125,2022-05-23 02:14:12.917+00,getOffSnail,"{293,11,"""",6}",372822
17334131,2022-05-23 02:14:14.359+00,playerKill,"{258,104,8,7,Soldier}",372822
17334132,2022-05-23 02:14:14.408+00,getOnSnail,"{293,11,9}",372822
17334137,2022-05-23 02:14:15.192+00,getOffSnail,"{310,11,"""",9}",372822
17334139,2022-05-23 02:14:15.293+00,playerKill,"{325,72,8,9,Worker}",372822
17334142,2022-05-23 02:14:15.596+00,blessMaiden,"{310,620,Red}",372822
17334158,2022-05-23 02:14:18.646+00,reserveMaiden,"{340,140,6}",372822
17334182,2022-05-23 02:14:19.61+00,carryFood,{7},372822
17334185,2022-05-23 02:14:20.209+00,carryFood,{9},372822
17334193,2022-05-23 02:14:21.633+00,getOnSnail,"{310,11,9}",372822
17334194,2022-05-23 02:14:21.696+00,useMaiden,"{340,140,maiden_speed,6}",372822
17334202,2022-05-23 02:14:22.768+00,carryFood,{6},372822
17334207,2022-05-23 02:14:23.662+00,blessMaiden,"{960,140,Blue}",372822
17334209,2022-05-23 02:14:23.961+00,reserveMaiden,"{960,140,6}",372822
17334219,2022-05-23 02:14:25.321+00,blessMaiden,"{340,140,Red}",372822
17334224,2022-05-23 02:14:25.954+00,playerKill,"{585,726,2,5,Soldier}",372822
17334230,2022-05-23 02:14:26.781+00,reserveMaiden,"{340,140,7}",372822
17334233,2022-05-23 02:14:27.042+00,useMaiden,"{960,140,maiden_wings,6}",372822
17334234,2022-05-23 02:14:27.099+00,blessMaiden,"{310,620,Blue}",372822
17334238,2022-05-23 02:14:28.326+00,glance,"{493,78,8,9}",372822
17334239,2022-05-23 02:14:28.492+00,getOffSnail,"{451,11,"""",9}",372822
17334243,2022-05-23 02:14:28.601+00,getOnSnail,"{451,11,4}",372822
17334244,2022-05-23 02:14:28.923+00,playerKill,"{509,20,8,9,Worker}",372822
17334245,2022-05-23 02:14:29.253+00,getOffSnail,"{444,11,"""",4}",372822
17334247,2022-05-23 02:14:29.586+00,blessMaiden,"{340,140,Blue}",372822
17334248,2022-05-23 02:14:29.851+00,useMaiden,"{340,140,maiden_speed,7}",372822
17334250,2022-05-23 02:14:30.084+00,getOnSnail,"{444,11,4}",372822
17334258,2022-05-23 02:14:31.014+00,carryFood,{5},372822
17334262,2022-05-23 02:14:32.01+00,carryFood,{7},372822
17334263,2022-05-23 02:14:32.106+00,reserveMaiden,"{1580,140,5}",372822
17334274,2022-05-23 02:14:34.025+00,carryFood,{9},372822
17334278,2022-05-23 02:14:34.853+00,getOffSnail,"{345,11,"""",4}",372822
17334280,2022-05-23 02:14:35.088+00,carryFood,{4},372822
17334281,2022-05-23 02:14:35.153+00,useMaiden,"{1580,140,maiden_speed,5}",372822
17334282,2022-05-23 02:14:35.207+00,glance,"{1486,576,6,7}",372822
17334283,2022-05-23 02:14:35.253+00,playerKill,"{1458,531,6,7,Worker}",372822
17334284,2022-05-23 02:14:35.253+00,getOnSnail,"{345,11,9}",372822
17334295,2022-05-23 02:14:36.212+00,carryFood,{5},372822
17334301,2022-05-23 02:14:37.414+00,blessMaiden,"{310,620,Red}",372822
17334304,2022-05-23 02:14:37.778+00,getOnSnail,"{348,11,4}",372822
17334309,2022-05-23 02:14:38.837+00,carryFood,{7},372822
17334311,2022-05-23 02:14:39.46+00,blessMaiden,"{310,620,Blue}",372822
17334313,2022-05-23 02:14:40.681+00,blessMaiden,"{960,140,Red}",372822
17334315,2022-05-23 02:14:41.244+00,reserveMaiden,"{960,140,5}",372822
17334322,2022-05-23 02:14:42.239+00,reserveMaiden,"{1610,620,7}",372822
17334325,2022-05-23 02:14:44.131+00,playerKill,"{1767,48,10,9,Worker}",372822
17334328,2022-05-23 02:14:44.233+00,getOffSnail,"{215,11,"""",4}",372822
17334329,2022-05-23 02:14:44.298+00,useMaiden,"{960,140,maiden_wings,5}",372822
17334337,2022-05-23 02:14:45.321+00,useMaiden,"{1610,620,maiden_wings,7}",372822
17334356,2022-05-23 02:14:46.115+00,getOnSnail,"{215,11,4}",372822
17334358,2022-05-23 02:14:46.71+00,getOffSnail,"{203,11,"""",4}",372822
17334361,2022-05-23 02:14:49.353+00,carryFood,{9},372822
17334362,2022-05-23 02:14:49.586+00,getOnSnail,"{203,11,4}",372822
17334363,2022-05-23 02:14:49.719+00,glance,"{192,415,3,8}",372822
17334365,2022-05-23 02:14:49.77+00,getOffSnail,"{200,11,"""",4}",372822
17334374,2022-05-23 02:14:51.048+00,getOnSnail,"{200,11,9}",372822
17334378,2022-05-23 02:14:51.51+00,playerKill,"{99,20,1,4,Worker}",372822
17334380,2022-05-23 02:14:51.608+00,getOffSnail,"{210,11,"""",9}",372822
17334382,2022-05-23 02:14:52.892+00,getOnSnail,"{210,11,9}",372822
17334397,2022-05-23 02:14:55.746+00,getOffSnail,"{270,11,"""",9}",372822
17334404,2022-05-23 02:14:57.301+00,getOnSnail,"{270,11,9}",372822
17334408,2022-05-23 02:14:58.733+00,blessMaiden,"{340,140,Red}",372822
17334410,2022-05-23 02:14:59.305+00,getOffSnail,"{310,11,"""",9}",372822
17334416,2022-05-23 02:15:00.562+00,playerKill,"{423,289,6,1,Queen}",372822
17334417,2022-05-23 02:15:00.612+00,gameend,"{map_dusk,False,160.5018,False}",372822
17334418,2022-05-23 02:15:00.612+00,victory,"{Blue,military}",372822
17333614,2022-05-23 02:12:10.523+00,spawn,"{6,False}",372822
17333615,2022-05-23 02:12:10.658+00,spawn,"{3,False}",372822
17333616,2022-05-23 02:12:10.845+00,spawn,"{8,False}",372822
17333617,2022-05-23 02:12:11.058+00,spawn,"{1,False}",372822
17333618,2022-05-23 02:12:11.101+00,spawn,"{2,False}",372822
17333619,2022-05-23 02:12:11.101+00,playernames,"{"""","""","""","""","""","""","""","""","""",""""}",372822
17333621,2022-05-23 02:12:11.355+00,spawn,"{5,False}",372822
17333623,2022-05-23 02:12:12.468+00,spawn,"{7,False}",372822
17333642,2022-05-23 02:12:20.047+00,gamestart,"{map_dusk,False,0,False}",372822
17333643,2022-05-23 02:12:20.246+00,blessMaiden,"{310,620,Blue}",372822
17333644,2022-05-23 02:12:20.313+00,blessMaiden,"{1610,620,Red}",372822
17333646,2022-05-23 02:12:20.766+00,carryFood,{5},372822
17333647,2022-05-23 02:12:21.041+00,glance,"{918,178,8,9}",372822
17333666,2022-05-23 02:12:21.241+00,carryFood,{7},372822
17333667,2022-05-23 02:12:21.307+00,carryFood,{4},372822
17333668,2022-05-23 02:12:21.352+00,glance,"{940,401,4,7}",372822
17333669,2022-05-23 02:12:21.352+00,reserveMaiden,"{340,140,6}",372822
17333671,2022-05-23 02:12:21.4+00,reserveMaiden,"{1580,140,5}",372822
17333672,2022-05-23 02:12:21.447+00,carryFood,{10},372822
17333675,2022-05-23 02:12:21.736+00,carryFood,{3},372822
17333677,2022-05-23 02:12:22.169+00,glance,"{1812,1015,1,2}",372822
17333678,2022-05-23 02:12:22.221+00,getOnSnail,"{960,11,9}",372822
17333679,2022-05-23 02:12:22.367+00,getOffSnail,"{960,11,"""",9}",372822
17333680,2022-05-23 02:12:22.433+00,reserveMaiden,"{310,620,10}",372822
17333681,2022-05-23 02:12:22.485+00,glance,"{941,140,4,7}",372822
17333682,2022-05-23 02:12:22.866+00,reserveMaiden,"{1610,620,3}",372822
17333684,2022-05-23 02:12:23.334+00,glance,"{1034,139,7,8}",372822
17333685,2022-05-23 02:12:23.386+00,glance,"{1812,1015,1,2}",372822
17333686,2022-05-23 02:12:23.529+00,getOnSnail,"{960,11,4}",372822
17333688,2022-05-23 02:12:24.062+00,getOffSnail,"{952,11,"""",4}",372822
17333689,2022-05-23 02:12:24.111+00,glance,"{993,151,9,8}",372822
17333690,2022-05-23 02:12:24.391+00,useMaiden,"{340,140,maiden_speed,6}",372822
17333691,2022-05-23 02:12:24.446+00,reserveMaiden,"{960,140,7}",372822
17333692,2022-05-23 02:12:24.446+00,useMaiden,"{1580,140,maiden_speed,5}",372822
17333693,2022-05-23 02:12:24.492+00,glance,"{1812,1015,1,2}",372822
17333695,2022-05-23 02:12:25.09+00,carryFood,{6},372822
17333696,2022-05-23 02:12:25.131+00,glance,"{928,159,8,7}",372822
17333697,2022-05-23 02:12:25.224+00,unreserveMaiden,"{960,140,"""",7}",372822
17333698,2022-05-23 02:12:25.487+00,carryFood,{5},372822
17333699,2022-05-23 02:12:25.533+00,useMaiden,"{310,620,maiden_wings,10}",372822
17333700,2022-05-23 02:12:25.656+00,getOnSnail,"{952,11,4}",372822
17333701,2022-05-23 02:12:25.704+00,glance,"{1812,1015,1,2}",372822
17333702,2022-05-23 02:12:25.753+00,getOffSnail,"{952,11,"""",4}",372822
17333703,2022-05-23 02:12:25.918+00,useMaiden,"{1610,620,maiden_wings,3}",372822
17333704,2022-05-23 02:12:26.084+00,glance,"{853,65,9,8}",372822
17333705,2022-05-23 02:12:26.283+00,reserveMaiden,"{960,140,7}",372822
17333706,2022-05-23 02:12:26.383+00,glance,"{1061,38,4,5}",372822
17333707,2022-05-23 02:12:26.682+00,getOnSnail,"{952,11,4}",372822
17333708,2022-05-23 02:12:26.813+00,glance,"{1812,1015,1,2}",372822
17333709,2022-05-23 02:12:26.861+00,getOffSnail,"{952,11,"""",4}",372822
17333710,2022-05-23 02:12:26.908+00,glance,"{884,26,9,8}",372822
17333711,2022-05-23 02:12:26.979+00,getOnSnail,"{952,11,8}",372822
17333712,2022-05-23 02:12:27.078+00,reserveMaiden,"{310,620,6}",372822
17333713,2022-05-23 02:12:27.314+00,getOffSnail,"{952,11,"""",8}",372822
17333714,2022-05-23 02:12:27.612+00,glance,"{862,62,9,4}",372822
17333715,2022-05-23 02:12:27.983+00,glance,"{1812,1015,1,2}",372822
17333716,2022-05-23 02:12:28.035+00,getOnSnail,"{952,11,4}",372822
17333717,2022-05-23 02:12:28.473+00,getOffSnail,"{952,11,"""",4}",372822
17333718,2022-05-23 02:12:29.009+00,playerKill,"{943,140,10,9,Worker}",372822
17333719,2022-05-23 02:12:29.14+00,glance,"{1813,1015,1,2}",372822
17333720,2022-05-23 02:12:29.37+00,useMaiden,"{960,140,maiden_wings,7}",372822
17333721,2022-05-23 02:12:30.119+00,getOnSnail,"{952,11,4}",372822
17333722,2022-05-23 02:12:30.165+00,useMaiden,"{310,620,maiden_wings,6}",372822
17333723,2022-05-23 02:12:30.284+00,carryFood,{8},372822
