id,start_time,end_time,win_condition,winning_team,map_name,player_count,cabinet_id,cabinet_name,tournament_match_id,blue_team,gold_team
398199,2022-07-24 03:10:28.031+00,2022-07-24 03:11:22.3+00,snail,gold,map_day,9,3,sf,629,Fat Bottom Girl,Homecoming Queen
398201,2022-07-24 03:12:19.761+00,2022-07-24 03:13:43.608+00,economic,gold,map_night,9,3,sf,629,Fat Bottom Girl,Homecoming Queen
398206,2022-07-24 03:14:51.336+00,2022-07-24 03:15:37.282+00,military,gold,map_dusk,9,3,sf,629,Fat Bottom Girl,Homecoming Queen
398236,2022-07-24 03:40:06.942+00,2022-07-24 03:46:45.697+00,military,blue,map_day,10,3,sf,633,Praying Mantis,Homecoming Queen
398248,2022-07-24 03:48:03.938+00,2022-07-24 03:49:48.86+00,economic,blue,map_night,10,3,sf,633,Praying Mantis,Homecoming Queen
398253,2022-07-24 03:51:12.67+00,2022-07-24 03:53:21.359+00,military,blue,map_dusk,10,3,sf,633,Praying Mantis,Homecoming Queen
398164,2022-07-24 02:44:31.888+00,2022-07-24 02:46:33.639+00,economic,blue,map_dusk,10,3,sf,628,Let's do this,Praying Mantis
398175,2022-07-24 02:52:14.264+00,2022-07-24 02:57:55.566+00,military,gold,map_day,10,3,sf,628,Let's do this,Praying Mantis
398186,2022-07-24 02:59:08.95+00,2022-07-24 03:02:19.654+00,economic,gold,map_night,10,3,sf,628,Let's do this,Praying Mantis
398192,2022-07-24 03:03:13.674+00,2022-07-24 03:04:59.67+00,military,gold,map_dusk,10,3,sf,628,Let's do this,Praying Mantis
398210,2022-07-24 03:18:32.861+00,2022-07-24 03:23:25.867+00,military,blue,map_day,10,3,sf,630,Homecoming Queen,Let's do this
398217,2022-07-24 03:24:11.882+00,2022-07-24 03:26:38.58+00,economic,blue,map_night,10,3,sf,630,Homecoming Queen,Let's do this
398221,2022-07-24 03:27:14.485+00,2022-07-24 03:32:29.606+00,economic,blue,map_dusk,10,3,sf,630,Homecoming Queen,Let's do this
