id,start_time,end_time,win_condition,winning_team,map_name,player_count,cabinet_id,cabinet_name,tournament_match_id,blue_team,gold_team
430603,2022-09-19 02:58:46.317+00,2022-09-19 03:00:43.607+00,military,gold,map_day,10,26,groundkontrol,799,Feeling my vanilla oats,Infused and Enthused
430605,2022-09-19 03:02:07.816+00,2022-09-19 03:04:12.432+00,military,blue,map_night,10,26,groundkontrol,799,Feeling my vanilla oats,Infused and Enthused
430607,2022-09-19 03:05:08.703+00,2022-09-19 03:09:34.081+00,military,gold,map_dusk,10,26,groundkontrol,799,Feeling my vanilla oats,Infused and Enthused
430613,2022-09-19 03:17:49.614+00,2022-09-19 03:28:11.813+00,snail,gold,map_day,10,26,groundkontrol,799,Feeling my vanilla oats,Infused and Enthused
430610,2022-09-19 03:11:49.591+00,2022-09-19 03:16:27.592+00,military,blue,map_night,10,26,groundkontrol,799,Feeling my vanilla oats,Infused and Enthused
430550,2022-09-19 00:54:56.323+00,2022-09-19 00:56:25.303+00,snail,gold,map_dusk,10,26,groundkontrol,790,One dumpling…or a dumpling equivalent,Infused and Enthused
430642,2022-09-19 03:53:00.325+00,2022-09-19 03:58:14.335+00,military,gold,map_day,10,26,groundkontrol,800,Infused and Enthused,DAMM'T
430657,2022-09-19 04:03:41.592+00,2022-09-19 04:05:26.646+00,military,gold,map_dusk,10,26,groundkontrol,800,Infused and Enthused,DAMM'T
430633,2022-09-19 03:41:48.858+00,2022-09-19 03:51:56.051+00,military,blue,map_day,10,26,groundkontrol,800,Infused and Enthused,DAMM'T
430647,2022-09-19 03:59:29.204+00,2022-09-19 04:02:28.067+00,snail,gold,map_night,10,26,groundkontrol,800,Infused and Enthused,DAMM'T
430674,2022-09-19 04:14:57.227+00,2022-09-19 04:17:25.772+00,snail,blue,map_night,10,26,groundkontrol,802,creepin it real,DAMM'T
430667,2022-09-19 04:09:54.744+00,2022-09-19 04:14:10.451+00,military,blue,map_day,10,26,groundkontrol,802,creepin it real,DAMM'T
430678,2022-09-19 04:19:03.997+00,2022-09-19 04:21:30.887+00,military,blue,map_dusk,10,26,groundkontrol,802,creepin it real,DAMM'T
430629,2022-09-19 03:33:44.046+00,2022-09-19 03:35:27.001+00,snail,blue,map_night,10,26,groundkontrol,796,creepin it real,DAMM'T
430625,2022-09-19 03:30:06.395+00,2022-09-19 03:33:00.065+00,military,blue,map_day,10,26,groundkontrol,796,creepin it real,DAMM'T
430631,2022-09-19 03:36:17.201+00,2022-09-19 03:37:55.409+00,economic,blue,map_dusk,10,26,groundkontrol,796,creepin it real,DAMM'T
430541,2022-09-19 00:24:06.439+00,2022-09-19 00:26:14.001+00,military,blue,map_day,10,26,groundkontrol,789,Hot and Heavy,Feeling my vanilla oats
430542,2022-09-19 00:27:38.657+00,2022-09-19 00:33:07.845+00,military,gold,map_night,10,26,groundkontrol,789,Hot and Heavy,Feeling my vanilla oats
430544,2022-09-19 00:34:21.38+00,2022-09-19 00:43:40.287+00,military,gold,map_dusk,10,26,groundkontrol,789,Hot and Heavy,Feeling my vanilla oats
430546,2022-09-19 00:44:41.03+00,2022-09-19 00:46:45.24+00,military,gold,map_day,10,26,groundkontrol,789,Hot and Heavy,Feeling my vanilla oats
430569,2022-09-19 01:50:17.848+00,2022-09-19 01:52:24.194+00,military,blue,map_day,10,26,groundkontrol,792,creepin it real,Feeling my vanilla oats
