id,timestamp,event_type,values,game_id
34229472,2022-09-19 00:10:39.398+00,spawn,"{9,False}",430535
34229745,2022-09-19 00:13:41.864+00,spawn,"{7,False}",430536
34229746,2022-09-19 00:13:44.064+00,gamestart,"{map_night,False,0,False,17.26}",430536
34229747,2022-09-19 00:13:45.066+00,glance,"{1166,266,5,6}",430536
34229748,2022-09-19 00:13:45.407+00,carryFood,{8},430536
34229749,2022-09-19 00:13:45.572+00,carryFood,{7},430536
34229750,2022-09-19 00:13:45.673+00,blessMaiden,"{960,700,Red}",430536
34229751,2022-09-19 00:13:45.673+00,carryFood,{10},430536
34229752,2022-09-19 00:13:45.937+00,reserveMaiden,"{170,740,8}",430536
34229753,2022-09-19 00:13:46.156+00,carryFood,{9},430536
34229754,2022-09-19 00:13:46.234+00,reserveMaiden,"{1750,740,7}",430536
34229755,2022-09-19 00:13:46.372+00,carryFood,{4},430536
34229756,2022-09-19 00:13:47.493+00,blessMaiden,"{1220,260,Blue}",430536
34229757,2022-09-19 00:13:48.008+00,carryFood,{3},430536
34229758,2022-09-19 00:13:48.487+00,playerKill,"{1432,140,2,5,Worker}",430536
34229759,2022-09-19 00:13:49+00,useMaiden,"{170,740,maiden_speed,8}",430536
34229760,2022-09-19 00:13:49.342+00,useMaiden,"{1750,740,maiden_speed,7}",430536
34229761,2022-09-19 00:13:49.343+00,reserveMaiden,"{1220,260,10}",430536
34229762,2022-09-19 00:13:49.478+00,carryFood,{8},430536
34229763,2022-09-19 00:13:49.575+00,playerKill,"{1164,370,1,6,Worker}",430536
34229764,2022-09-19 00:13:49.709+00,carryFood,{7},430536
34229765,2022-09-19 00:13:49.859+00,blessMaiden,"{1220,260,Red}",430536
34229766,2022-09-19 00:13:49.859+00,unreserveMaiden,"{1220,260,"""",10}",430536
34229767,2022-09-19 00:13:49.875+00,playerKill,"{1220,260,1,10,Worker}",430536
34229768,2022-09-19 00:13:49.991+00,glance,"{1633,500,9,4}",430536
34229769,2022-09-19 00:13:50.353+00,reserveMaiden,"{960,700,3}",430536
34229770,2022-09-19 00:13:50.983+00,glance,"{1668,506,4,9}",430536
34229771,2022-09-19 00:13:52.308+00,blessMaiden,"{960,700,Blue}",430536
34229772,2022-09-19 00:13:52.781+00,reserveMaiden,"{1220,260,7}",430536
34229773,2022-09-19 00:13:53.419+00,useMaiden,"{960,700,maiden_wings,3}",430536
34229774,2022-09-19 00:13:53.419+00,reserveMaiden,"{960,700,8}",430536
34229775,2022-09-19 00:13:53.922+00,carryFood,{5},430536
34229776,2022-09-19 00:13:55.026+00,reserveMaiden,"{700,260,5}",430536
34229777,2022-09-19 00:13:55.124+00,carryFood,{6},430536
34229778,2022-09-19 00:13:55.176+00,carryFood,{10},430536
34229779,2022-09-19 00:13:55.592+00,blessMaiden,"{700,260,Red}",430536
34229780,2022-09-19 00:13:55.854+00,useMaiden,"{1220,260,maiden_wings,7}",430536
34229781,2022-09-19 00:13:56.372+00,berryDeposit,"{1779,68,9}",430536
34229782,2022-09-19 00:13:56.483+00,useMaiden,"{960,700,maiden_wings,8}",430536
34229783,2022-09-19 00:13:57.098+00,reserveMaiden,"{170,740,10}",430536
34229784,2022-09-19 00:13:57.528+00,reserveMaiden,"{960,700,6}",430536
34229785,2022-09-19 00:13:58.092+00,useMaiden,"{700,260,maiden_wings,5}",430536
34229786,2022-09-19 00:13:58.123+00,blessMaiden,"{170,740,Red}",430536
34229787,2022-09-19 00:13:59.466+00,blessMaiden,"{1750,740,Red}",430536
34229788,2022-09-19 00:13:59.815+00,glance,"{148,760,3,4}",430536
34229789,2022-09-19 00:14:00.182+00,useMaiden,"{170,740,maiden_speed,10}",430536
34229790,2022-09-19 00:14:00.605+00,useMaiden,"{960,700,maiden_wings,6}",430536
34229791,2022-09-19 00:14:00.832+00,carryFood,{10},430536
34229792,2022-09-19 00:14:00.832+00,glance,"{185,790,3,10}",430536
34229793,2022-09-19 00:14:01.214+00,playerKill,"{1394,731,8,9,Worker}",430536
34229794,2022-09-19 00:14:03.311+00,reserveMaiden,"{960,700,10}",430536
34229795,2022-09-19 00:14:03.419+00,getOnSnail,"{960,491,4}",430536
34229734,2022-09-19 00:13:35.058+00,mapstart,"{map_night,False,0,False,17.26}",430536
34229735,2022-09-19 00:13:35.126+00,spawn,"{1,False}",430536
34229736,2022-09-19 00:13:35.126+00,spawn,"{2,False}",430536
34229737,2022-09-19 00:13:35.126+00,playernames,"{"""","""","""","""","""","""","""","""","""",""""}",430536
34229738,2022-09-19 00:13:36.172+00,spawn,"{4,False}",430536
34229739,2022-09-19 00:13:36.649+00,spawn,"{10,False}",430536
34229740,2022-09-19 00:13:36.687+00,spawn,"{6,False}",430536
34229741,2022-09-19 00:13:36.755+00,spawn,"{8,False}",430536
34229742,2022-09-19 00:13:36.862+00,spawn,"{3,False}",430536
34229743,2022-09-19 00:13:36.881+00,spawn,"{5,False}",430536
34229744,2022-09-19 00:13:37.179+00,spawn,"{9,False}",430536
34230139,2022-09-19 00:16:32.591+00,carryFood,{8},430536
34230140,2022-09-19 00:16:32.771+00,getOffSnail,"{361,491,"""",4}",430536
34230141,2022-09-19 00:16:32.872+00,glance,"{346,552,4,9}",430536
34230143,2022-09-19 00:16:33.065+00,useMaiden,"{170,740,maiden_speed,7}",430536
34230144,2022-09-19 00:16:33.082+00,playerKill,"{386,500,1,4,Worker}",430536
34230145,2022-09-19 00:16:33.37+00,reserveMaiden,"{700,260,8}",430536
34230146,2022-09-19 00:16:33.94+00,getOnSnail,"{361,491,9}",430536
34230147,2022-09-19 00:16:34.462+00,carryFood,{7},430536
34230150,2022-09-19 00:16:35.673+00,glance,"{975,571,6,7}",430536
34230151,2022-09-19 00:16:36.157+00,getOffSnail,"{408,491,"""",9}",430536
34230152,2022-09-19 00:16:36.157+00,playerKill,"{408,491,2,9,Worker}",430536
34230153,2022-09-19 00:16:36.257+00,glance,"{431,532,2,1}",430536
34230154,2022-09-19 00:16:36.481+00,useMaiden,"{700,260,maiden_wings,8}",430536
34230155,2022-09-19 00:16:36.594+00,playerKill,"{343,535,10,1,Queen}",430536
34230156,2022-09-19 00:16:37.77+00,carryFood,{4},430536
34230157,2022-09-19 00:16:38.092+00,getOnSnail,"{408,491,4}",430536
34230158,2022-09-19 00:16:38.705+00,blessMaiden,"{170,740,Blue}",430536
34230159,2022-09-19 00:16:38.824+00,berryDeposit,"{1808,83,7}",430536
34230160,2022-09-19 00:16:39.903+00,glance,"{453,637,5,8}",430536
34230161,2022-09-19 00:16:40.627+00,playerKill,"{283,537,10,5,Worker}",430536
34230162,2022-09-19 00:16:42.132+00,carryFood,{3},430536
