threshold,threshold_tier,train_tier,n_train,train_time,log_loss,accuracy,inversions
227226,tier1_major_tourn,tier1_major_tourn,227226,4.550917863845825,0.5927131070461291,0.6762387352465066,0.0685
227226,tier1_major_tourn,tier3_other_tourn,227226,4.792870044708252,0.5929097046045358,0.6733236992427108,0.067
227226,tier1_major_tourn,tier2_near_major,227226,4.883970737457275,0.5878592350917731,0.6789615029181371,0.0735
227226,tier1_major_tourn,tier4_logins,227226,4.972470283508301,0.5855959457833028,0.6827014320889644,0.094
410314,tier3_other_tourn,tier1_major_tourn,227226,4.977771759033203,0.5927131070461291,0.6762387352465066,0.072
410314,tier3_other_tourn,tier3_other_tourn,410314,5.622077226638794,0.5818641268167537,0.6789615029181371,0.055
410314,tier3_other_tourn,tier2_near_major,410314,5.77259635925293,0.5788163678482068,0.6852195270199029,0.059
410314,tier3_other_tourn,tier4_logins,410314,5.88073992729187,0.5777512700917814,0.6851699093857957,0.051
526803,tier2_near_major,tier1_major_tourn,227226,5.181220769882202,0.5927131070461291,0.6762387352465066,0.067
526803,tier2_near_major,tier3_other_tourn,410314,5.885677099227905,0.5818641268167537,0.6789615029181371,0.058
526803,tier2_near_major,tier2_near_major,526803,6.267819404602051,0.5775691214159644,0.684828788151309,0.048
526803,tier2_near_major,tier4_logins,526803,6.503363847732544,0.5747940636283587,0.6848535969683626,0.043
1891634,tier4_logins,tier1_major_tourn,227226,5.28922438621521,0.5927131070461291,0.6762387352465066,0.072
1891634,tier4_logins,tier3_other_tourn,410314,5.929080963134766,0.5818641268167537,0.6789615029181371,0.058
1891634,tier4_logins,tier2_near_major,526803,6.418689489364624,0.5775691214159644,0.684828788151309,0.0475
1891634,tier4_logins,tier4_logins,1891634,12.097006559371948,0.5696200716484681,0.6894184193062214,0.0175
