id,timestamp,event_type,values,game_id
47986115,2023-02-27 03:09:11.536+00,spawn,"{10,False}",645873
47986116,2023-02-27 03:09:11.737+00,spawn,"{7,False}",645873
47986117,2023-02-27 03:09:12.201+00,spawn,"{6,False}",645873
47986118,2023-02-27 03:09:12.407+00,mapstart,"{map_day,True,0,False,17.26}",645873
47986119,2023-02-27 03:09:12.409+00,spawn,"{1,False}",645873
47986120,2023-02-27 03:09:12.41+00,spawn,"{2,False}",645873
47986121,2023-02-27 03:09:12.41+00,playernames,"{"""","""","""","""","""","""","""","""","""",""""}",645873
47986122,2023-02-27 03:09:13.024+00,spawn,"{5,False}",645873
47986123,2023-02-27 03:09:13.159+00,spawn,"{4,False}",645873
47986124,2023-02-27 03:09:13.202+00,spawn,"{3,False}",645873
47986125,2023-02-27 03:09:14.12+00,spawn,"{9,False}",645873
47986126,2023-02-27 03:09:15.034+00,spawn,"{8,False}",645873
47986127,2023-02-27 03:09:16.054+00,blessMaiden,"{410,860,Red}",645873
47986128,2023-02-27 03:09:17.152+00,blessMaiden,"{1510,860,Blue}",645873
47986129,2023-02-27 03:09:21.424+00,gamestart,"{map_day,True,0,False,17.26}",645873
47986130,2023-02-27 03:09:22.104+00,carryFood,{7},645873
47986131,2023-02-27 03:09:22.133+00,carryFood,{8},645873
47986132,2023-02-27 03:09:22.635+00,carryFood,{10},645873
47986133,2023-02-27 03:09:22.67+00,carryFood,{3},645873
47986134,2023-02-27 03:09:22.671+00,carryFood,{6},645873
47986135,2023-02-27 03:09:22.801+00,carryFood,{4},645873
47986136,2023-02-27 03:09:22.834+00,glance,"{988,775,2,1}",645873
47986137,2023-02-27 03:09:23.646+00,reserveMaiden,"{1360,260,6}",645873
47986138,2023-02-27 03:09:23.648+00,reserveMaiden,"{1510,860,8}",645873
47986139,2023-02-27 03:09:23.677+00,reserveMaiden,"{410,860,7}",645873
47986140,2023-02-27 03:09:23.748+00,reserveMaiden,"{560,260,3}",645873
47986141,2023-02-27 03:09:24.01+00,glance,"{960,775,1,2}",645873
47986142,2023-02-27 03:09:24.209+00,carryFood,{5},645873
47986143,2023-02-27 03:09:24.375+00,carryFood,{9},645873
47986144,2023-02-27 03:09:25.134+00,glance,"{1323,260,9,10}",645873
47986145,2023-02-27 03:09:25.18+00,glance,"{960,775,1,2}",645873
47986146,2023-02-27 03:09:26.164+00,glance,"{1376,322,9,10}",645873
47986147,2023-02-27 03:09:26.328+00,glance,"{960,775,1,2}",645873
47986148,2023-02-27 03:09:26.728+00,useMaiden,"{1360,260,maiden_wings,6}",645873
47986149,2023-02-27 03:09:26.731+00,useMaiden,"{1510,860,maiden_speed,8}",645873
47986150,2023-02-27 03:09:26.732+00,berryDeposit,"{1032,923,4}",645873
47986151,2023-02-27 03:09:26.761+00,useMaiden,"{410,860,maiden_speed,7}",645873
47986152,2023-02-27 03:09:26.83+00,useMaiden,"{560,260,maiden_wings,3}",645873
47986153,2023-02-27 03:09:27.489+00,glance,"{960,775,1,2}",645873
47986154,2023-02-27 03:09:27.622+00,reserveMaiden,"{410,860,5}",645873
47986155,2023-02-27 03:09:28.021+00,reserveMaiden,"{1360,260,10}",645873
47986156,2023-02-27 03:09:28.186+00,getOnSnail,"{960,11,9}",645873
47986157,2023-02-27 03:09:28.651+00,glance,"{961,775,1,2}",645873
47986158,2023-02-27 03:09:28.984+00,carryFood,{8},645873
47986159,2023-02-27 03:09:29.015+00,carryFood,{7},645873
47986160,2023-02-27 03:09:29.813+00,glance,"{961,775,1,2}",645873
47986161,2023-02-27 03:09:30.075+00,reserveMaiden,"{560,260,7}",645873
47986162,2023-02-27 03:09:30.701+00,useMaiden,"{410,860,maiden_speed,5}",645873
47986163,2023-02-27 03:09:30.964+00,glance,"{961,775,1,2}",645873
47986164,2023-02-27 03:09:31.096+00,useMaiden,"{1360,260,maiden_wings,10}",645873
47986165,2023-02-27 03:09:31.133+00,reserveMaiden,"{1360,260,8}",645873
47986166,2023-02-27 03:09:32.109+00,glance,"{961,775,1,2}",645873
47986167,2023-02-27 03:09:32.439+00,carryFood,{4},645873
47986168,2023-02-27 03:09:32.607+00,getOffSnail,"{868,11,"""",9}",645873
47986169,2023-02-27 03:09:32.904+00,carryFood,{5},645873
47986170,2023-02-27 03:09:33.137+00,useMaiden,"{560,260,maiden_wings,7}",645873
47986171,2023-02-27 03:09:33.368+00,blessMaiden,"{960,500,Blue}",645873
47986172,2023-02-27 03:09:33.838+00,reserveMaiden,"{560,260,5}",645873
47986173,2023-02-27 03:09:34.193+00,useMaiden,"{1360,260,maiden_wings,8}",645873
47986174,2023-02-27 03:09:35.02+00,playerKill,"{1260,931,1,4,Worker}",645873
47986175,2023-02-27 03:09:36.918+00,useMaiden,"{560,260,maiden_wings,5}",645873
47986176,2023-02-27 03:09:36.945+00,blessMaiden,"{410,860,Blue}",645873
47986177,2023-02-27 03:09:38.236+00,carryFood,{4},645873
47986178,2023-02-27 03:09:38.308+00,playerKill,"{1178,860,1,4,Worker}",645873
47986179,2023-02-27 03:09:40.119+00,blessMaiden,"{1510,860,Red}",645873
47986180,2023-02-27 03:09:40.342+00,blessMaiden,"{560,260,Blue}",645873
47986181,2023-02-27 03:09:41.598+00,glance,"{1137,772,7,8}",645873
47986182,2023-02-27 03:09:43.93+00,glance,"{1197,774,1,2}",645873
47986183,2023-02-27 03:09:46.349+00,getOnSnail,"{868,11,4}",645873
47986184,2023-02-27 03:09:47.775+00,getOffSnail,"{893,11,"""",4}",645873
47986185,2023-02-27 03:09:48.069+00,playerKill,"{871,20,5,4,Worker}",645873
47986186,2023-02-27 03:09:49.528+00,blessMaiden,"{1360,260,Red}",645873
47986187,2023-02-27 03:09:50.57+00,playerKill,"{692,498,5,2,Queen}",645873
47986188,2023-02-27 03:09:53.947+00,carryFood,{4},645873
47986189,2023-02-27 03:09:54.009+00,playerKill,"{856,652,6,3,Soldier}",645873
47986190,2023-02-27 03:09:54.686+00,glance,"{1354,571,4,7}",645873
47986191,2023-02-27 03:09:55.216+00,blessMaiden,"{1510,860,Blue}",645873
47986192,2023-02-27 03:09:56.011+00,glance,"{1376,716,4,7}",645873
47986193,2023-02-27 03:09:56.726+00,getOnSnail,"{893,11,9}",645873
47986194,2023-02-27 03:09:56.885+00,blessMaiden,"{560,260,Red}",645873
47986195,2023-02-27 03:09:57.514+00,blessMaiden,"{1360,260,Blue}",645873
47986196,2023-02-27 03:09:58.411+00,carryFood,{3},645873
47986197,2023-02-27 03:09:59.044+00,getOffSnail,"{846,11,"""",9}",645873
